['1552697730357', '192.168.50.145', 'NA', 'NA', '1.749', '7.750', '-3.639', '-13.580', '-9.021', '-5.233', '-0.116', '0.325', '-0.213', '1028.83', 'NA']
['1552697730390', '192.168.50.145', 'NA', 'NA', '1.749', '7.750', '-3.639', '-13.580', '-9.021', '-5.233', '-0.116', '0.325', '-0.213', '1028.83', 'NA']
['1552697730412', '192.168.50.145', 'NA', 'NA', '1.308', '8.570', '-3.345', '2.590', '11.953', '-11.585', '-0.118', '0.318', '-0.216', '1028.84', 'NA']
['1552697730450', '192.168.50.145', '20.90', '10205FE010002C95', '1.308', '8.570', '-3.345', '2.590', '11.953', '-11.585', '-0.118', '0.318', '-0.216', '1028.84', '-83']
['1552697730472', '192.168.50.145', 'NA', 'NA', '2.924', '8.252', '-4.460', '-2.030', '-1.374', '-3.902', '-0.118', '0.323', '-0.219', '1028.77', 'NA']
['1552697730508', '192.168.50.145', '2.71', '10205FE010002C92', '2.924', '8.252', '-4.460', '-2.030', '-1.374', '-3.902', '-0.118', '0.323', '-0.219', '1028.77', '-82']
['1552697730523', '192.168.50.145', '17.98', '10205FE0100031F3', '2.924', '8.252', '-4.460', '-2.030', '-1.374', '-3.902', '-0.118', '0.323', '-0.219', '1028.77', '-94']
['1552697730557', '192.168.50.145', 'NA', 'NA', '2.484', '8.928', '-4.063', '9.398', '0.613', '-10.727', '-0.120', '0.320', '-0.220', '1028.80', 'NA']
['1552697730579', '192.168.50.145', 'NA', 'NA', '2.484', '8.928', '-4.063', '9.398', '0.613', '-10.727', '-0.120', '0.320', '-0.220', '1028.80', 'NA']
['1552697730607', '192.168.50.145', '20.92', '10205FE010002C95', '2.396', '8.684', '-4.470', '12.434', '-3.850', '-13.895', '-0.123', '0.315', '-0.228', '1028.83', '-84']
['1552697730629', '192.168.50.145', 'NA', 'NA', '2.396', '8.684', '-4.470', '12.434', '-3.850', '-13.895', '-0.123', '0.315', '-0.228', '1028.83', 'NA']
['1552697730662', '192.168.50.145', 'NA', 'NA', '2.396', '8.684', '-4.470', '12.434', '-3.850', '-13.895', '-0.123', '0.315', '-0.228', '1028.83', 'NA']
['1552697730678', '192.168.50.145', '21.46', '10205FE0100031F3', '1.668', '9.071', '-4.130', '20.335', '-0.840', '-3.027', '-0.131', '0.309', '-0.248', '1028.90', '-110']
['1552697730700', '192.168.50.145', 'NA', 'NA', '1.668', '9.071', '-4.130', '20.335', '-0.840', '-3.027', '-0.131', '0.309', '-0.248', '1028.90', 'NA']
['1552697730739', '192.168.50.145', 'NA', 'NA', '1.551', '10.263', '-3.954', '13.440', '9.188', '-17.019', '-0.127', '0.305', '-0.249', '1028.86', 'NA']
