[1546720839.343894, '192.168.50.145', '11.02', '10205FE010002BEB', '-0.597', '-2.320', '-8.296', '-19.556', '-0.157', '-7.227', '0.268', '-0.251', '-0.363', '-82']
[1546720839.7858498, '192.168.50.145', '13.67', '10205FE010002C95', '0.731', '-0.347', '-12.378', '0.954', '-17.028', '1.610', '0.275', '-0.244', '-0.344', '-90']
[1546720839.9816027, '192.168.50.145', '4.15', '10205FE010002C92', '-0.231', '-1.740', '-7.470', '3.727', '-8.111', '9.319', '0.258', '-0.249', '-0.340', '-82']
[1546720840.1066458, '192.168.50.145', '10.69', '10205FE010002BEB', '-0.144', '-2.887', '-9.125', '1.085', '3.412', '-0.394', '0.265', '-0.252', '-0.327', '-82']
[1546720840.2141693, '192.168.50.145', '22.82', '10205FE010002A7B', '-1.354', '-2.536', '-12.152', '5.451', '2.371', '-14.630', '0.266', '-0.247', '-0.315', '-113']
[1546720840.441367, '192.168.50.145', '4.77', '10205FE010002C92', '-0.580', '-1.701', '-8.356', '8.278', '-3.045', '-11.795', '0.274', '-0.223', '-0.302', '-82']
[1546720840.5841315, '192.168.50.145', '11.54', '10205FE010002BEB', '-1.041', '-2.498', '-7.974', '6.650', '2.354', '-2.371', '0.272', '-0.216', '-0.293', '-82']
[1546720840.6997333, '192.168.50.145', '13.08', '10205FE010002C95', '-0.701', '-3.332', '-10.135', '-3.675', '7.840', '4.200', '0.267', '-0.211', '-0.292', '-87']
[1546720840.8088212, '192.168.50.145', '13.03', '10205FE010002C95', '-1.127', '-2.727', '-11.021', '-21.683', '9.441', '8.802', '0.276', '-0.202', '-0.289', '-86']
[1546720840.9334838, '192.168.50.145', '12.96', '10205FE010002C95', '-0.318', '-2.518', '-9.141', '-10.684', '0.919', '17.570', '0.280', '-0.189', '-0.284', '-85']
[1546720841.060234, '192.168.50.145', '12.86', '10205FE010002C95', '-0.286', '-2.200', '-7.687', '-2.328', '-7.735', '9.450', '0.276', '-0.183', '-0.290', '-86']
[1546720841.3029077, '192.168.50.145', '12.72', '10205FE010002C95', '-0.223', '-3.955', '-10.534', '-2.651', '-4.532', '3.841', '0.278', '-0.156', '-0.301', '-84']
[1546720841.5638788, '192.168.50.145', '18.82', '10205FE010002A85', '-0.324', '-1.464', '-8.617', '1.461', '1.514', '2.266', '0.295', '-0.118', '-0.330', '-87']
[1546720842.1506996, '192.168.50.145', '6.05', '10205FE0100031F3', '0.055', '-2.268', '-7.624', '-6.213', '-8.505', '5.504', '0.324', '-0.083', '-0.392', '-92']
[1546720842.1660123, '192.168.50.145', '18.13', '10205FE010002A85', '0.055', '-2.268', '-7.624', '-6.213', '-8.505', '5.504', '0.324', '-0.083', '-0.392', '-87']
[1546720842.820875, '192.168.50.145', '11.75', '10205FE010002C95', '-0.352', '-2.096', '-9.642', '8.619', '-3.850', '-6.475', '0.351', '-0.093', '-0.488', '-84']
[1546720843.05784, '192.168.50.145', '17.10', '10205FE010002A85', '-0.657', '-0.599', '-10.287', '24.211', '12.320', '5.644', '0.360', '-0.116', '-0.517', '-86']
[1546720843.1855497, '192.168.50.145', '4.82', '10205FE0100031F3', '-0.106', '-1.155', '-8.539', '7.184', '-8.347', '13.422', '0.360', '-0.144', '-0.529', '-92']
[1546720843.3105006, '192.168.50.145', '8.12', '10205FE010002C92', '-0.574', '-1.749', '-8.094', '0.752', '-7.201', '0.306', '0.352', '-0.158', '-0.543', '-83']
[1546720843.5316417, '192.168.50.145', '11.40', '10205FE010002C95', '-0.966', '-2.731', '-11.514', '-23.231', '-11.568', '-3.299', '0.348', '-0.175', '-0.560', '-83']
[1546720843.6336331, '192.168.50.145', '16.30', '10205FE010002A85', '-0.927', '-1.470', '-9.381', '19.871', '12.311', '-8.505', '0.347', '-0.179', '-0.557', '-94']
[1546720843.7541602, '192.168.50.145', '4.20', '10205FE0100031F3', '-0.297', '-0.962', '-8.222', '0.709', '-11.261', '-0.420', '0.343', '-0.184', '-0.554', '-92']
[1546720843.7695026, '192.168.50.145', '16.21', '10205FE010002A85', '-0.297', '-0.962', '-8.222', '0.709', '-11.261', '-0.420', '0.343', '-0.184', '-0.554', '-92']
[1546720843.9065561, '192.168.50.145', '16.11', '10205FE010002A85', '-0.726', '-2.790', '-7.571', '-2.398', '9.345', '0.700', '0.343', '-0.192', '-0.552', '-88']
[1546720844.0225365, '192.168.50.145', '8.93', '10205FE010002C92', '-0.409', '-2.282', '-11.234', '-20.554', '-4.253', '7.245', '0.336', '-0.205', '-0.557', '-83']
[1546720844.4544144, '192.168.50.145', '13.79', '10205FE010002BEB', '0.177', '-2.471', '-9.346', '8.496', '-7.604', '-2.590', '0.293', '-0.241', '-0.522', '-94']
[1546720844.6946385, '192.168.50.145', '15.00', '10205FE010002A85', '-0.473', '-0.888', '-10.367', '7.280', '-6.799', '-4.751', '0.280', '-0.248', '-0.499', '-91']
[1546720845.0230033, '192.168.50.145', '17.93', '10205FE010002A7B', '-1.001', '-1.918', '-9.156', '8.943', '1.129', '-3.526', '0.264', '-0.247', '-0.473', '-85']
[1546720845.0382957, '192.168.50.145', '10.69', '10205FE010002C95', '-1.001', '-1.918', '-9.156', '8.943', '1.129', '-3.526', '0.264', '-0.247', '-0.473', '-86']
[1546720845.2740815, '192.168.50.145', '10.58', '10205FE010002C95', '-0.759', '-2.289', '-9.178', '-34.571', '1.846', '27.212', '0.262', '-0.251', '-0.444', '-83']
[1546720845.7470167, '192.168.50.145', '15.04', '10205FE010002BEB', '-1.159', '-0.573', '-11.932', '5.871', '0.928', '-11.288', '0.225', '-0.252', '-0.414', '-91']
[1546720845.8698704, '192.168.50.145', '10.51', '10205FE010002C95', '-0.982', '-1.487', '-8.413', '-13.904', '0.822', '-4.279', '0.229', '-0.246', '-0.411', '-82']
[1546720846.1440284, '192.168.50.145', '17.00', '10205FE010002A7B', '-0.785', '-2.560', '-9.582', '14.717', '2.783', '-2.686', '0.218', '-0.235', '-0.401', '-87']
[1546720846.2813327, '192.168.50.145', '16.77', '10205FE010002A7B', '-0.540', '-2.170', '-10.960', '12.005', '2.599', '-0.788', '0.215', '-0.235', '-0.397', '-89']
[1546720846.4162207, '192.168.50.145', '13.20', '10205FE010002A85', '-0.215', '-0.511', '-9.929', '3.763', '-1.435', '12.127', '0.209', '-0.234', '-0.389', '-86']
[1546720846.6672914, '192.168.50.145', '12.08', '10205FE010002C92', '-0.397', '-3.575', '-9.843', '5.171', '3.946', '-9.222', '0.203', '-0.238', '-0.384', '-85']
[1546720846.7942789, '192.168.50.145', '15.90', '10205FE010002BEB', '-0.835', '-2.229', '-10.585', '-10.972', '-5.915', '-5.932', '0.200', '-0.236', '-0.386', '-91']
[1546720846.9086373, '192.168.50.145', '16.12', '10205FE010002A7B', '-1.074', '-0.296', '-10.199', '17.159', '0.044', '-12.591', '0.204', '-0.232', '-0.376', '-87']
[1546720847.0185366, '192.168.50.145', '12.41', '10205FE010002A85', '-0.586', '-1.699', '-8.460', '-22.444', '-0.507', '5.688', '0.204', '-0.226', '-0.382', '-87']
[1546720847.099316, '192.168.50.145', '12.55', '10205FE010002C92', '-1.365', '-1.299', '-8.483', '-5.539', '4.506', '-0.752', '0.211', '-0.219', '-0.376', '-85']
[1546720847.3189566, '192.168.50.145', '12.16', '10205FE010002A85', '-0.505', '-2.731', '-10.667', '-3.806', '-1.076', '9.074', '0.223', '-0.216', '-0.366', '-85']
[1546720847.414685, '192.168.50.145', '12.90', '10205FE010002C92', '0.029', '-0.421', '-10.982', '12.565', '-10.535', '11.471', '0.222', '-0.215', '-0.368', '-85']
[1546720847.6548693, '192.168.50.145', '10.38', '10205FE010002C95', '-0.377', '-1.787', '-8.824', '-5.014', '-13.379', '8.137', '0.221', '-0.210', '-0.361', '-83']
[1546720848.0151932, '192.168.50.145', '0.89', '10205FE0100031F3', '-0.858', '-0.330', '-11.677', '-18.751', '-3.763', '-6.204', '0.213', '-0.191', '-0.370', '-81']
[1546720848.0305989, '192.168.50.145', '11.31', '10205FE010002A85', '-0.858', '-0.330', '-11.677', '-18.751', '-3.763', '-6.204', '0.213', '-0.191', '-0.370', '-86']
[1546720848.1556182, '192.168.50.145', '0.97', '10205FE0100031F3', '-0.692', '-0.760', '-9.544', '-6.589', '-1.207', '-9.231', '0.222', '-0.178', '-0.361', '-81']
[1546720848.2589073, '192.168.50.145', '17.10', '10205FE010002BEB', '-1.122', '-1.161', '-8.198', '2.957', '-6.221', '-6.195', '0.222', '-0.175', '-0.364', '-94']
[1546720848.3961425, '192.168.50.145', '17.32', '10205FE010002BEB', '-1.178', '-1.957', '-9.702', '14.464', '-4.130', '-10.859', '0.216', '-0.175', '-0.370', '-93']
[1546720848.6432033, '192.168.50.145', '10.69', '10205FE010002A85', '-0.770', '-1.710', '-8.792', '-11.515', '7.271', '15.190', '0.218', '-0.178', '-0.369', '-83']
[1546720848.7502954, '192.168.50.145', '14.27', '10205FE010002C92', '-0.190', '-1.396', '-8.109', '-1.225', '-10.797', '6.676', '0.217', '-0.180', '-0.368', '-87']
[1546720849.904191, '192.168.50.145', '9.17', '10205FE010002A85', '-0.812', '-3.185', '-7.815', '-6.554', '0.420', '16.188', '0.218', '-0.179', '-0.353', '-84']
[1546720850.0415542, '192.168.50.145', '9.03', '10205FE010002A85', '-0.681', '-2.662', '-10.562', '13.895', '0.403', '-10.833', '0.214', '-0.179', '-0.353', '-83']
[1546720850.2928696, '192.168.50.145', '16.22', '10205FE010002C92', '-1.269', '-1.787', '-8.121', '-0.490', '-0.639', '1.321', '0.219', '-0.168', '-0.356', '-87']
[1546720850.4040716, '192.168.50.145', '19.42', '10205FE010002BEB', '-1.138', '-1.537', '-7.218', '11.358', '3.859', '-5.110', '0.220', '-0.167', '-0.365', '-91']
[1546720850.9203143, '192.168.50.145', '10.99', '10205FE010002C95', '-0.787', '-2.075', '-7.438', '2.879', '-5.329', '14.280', '0.230', '-0.155', '-0.368', '-93']
[1546720851.1484432, '192.168.50.145', '4.52', '10205FE0100031F3', '-0.428', '-3.680', '-10.874', '-7.840', '-15.129', '4.559', '0.231', '-0.163', '-0.376', '-90']
[1546720851.163764, '192.168.50.145', '7.58', '10205FE010002A85', '-0.428', '-3.680', '-10.874', '-7.840', '-15.129', '4.559', '0.231', '-0.163', '-0.376', '-85']
[1546720851.2769604, '192.168.50.145', '17.43', '10205FE010002C92', '-2.140', '0.599', '-11.888', '23.468', '14.788', '-18.209', '0.237', '-0.159', '-0.381', '-87']
[1546720851.3790076, '192.168.50.145', '11.33', '10205FE010002C95', '-0.286', '-2.310', '-8.107', '-12.512', '-5.845', '-4.821', '0.242', '-0.155', '-0.384', '-88']
[1546720851.3942819, '192.168.50.145', '20.15', '10205FE010002BEB', '-0.644', '-1.284', '-8.242', '4.760', '-1.601', '-5.574', '0.242', '-0.153', '-0.385', '-99']
[1546720851.514862, '192.168.50.145', '17.68', '10205FE010002C92', '-1.131', '-1.950', '-6.946', '4.428', '-2.564', '-10.491', '0.241', '-0.151', '-0.393', '-86']
[1546720851.6168895, '192.168.50.145', '11.51', '10205FE010002C95', '-0.960', '-2.698', '-9.316', '2.844', '4.043', '2.914', '0.247', '-0.142', '-0.391', '-85']
[1546720851.760464, '192.168.50.145', '11.56', '10205FE010002C95', '-1.515', '-1.840', '-11.440', '-11.323', '14.123', '2.835', '0.248', '-0.129', '-0.403', '-87']
[1546720851.8560748, '192.168.50.145', '6.81', '10205FE010002A85', '-0.583', '-1.976', '-9.386', '-10.448', '-2.800', '13.641', '0.257', '-0.120', '-0.400', '-82']
