['1553383321486', '192.168.50.145', 'NA', 'NA', '0.077', '0.056', '-9.787', '-1.006', '-1.400', '-6.519', '-0.060', '-0.300', '-0.470', '1021.91', 'NA']
['1553383321509', '192.168.50.145', 'NA', 'NA', '-0.126', '0.135', '-9.905', '-1.628', '-1.531', '-5.968', '-0.053', '-0.304', '-0.472', '1021.95', 'NA']
['1553383321531', '192.168.50.145', 'NA', 'NA', '-0.126', '0.135', '-9.905', '-1.628', '-1.531', '-5.968', '-0.053', '-0.304', '-0.472', '1021.95', 'NA']
['1553383321552', '192.168.50.145', 'NA', 'NA', '-0.126', '0.135', '-9.905', '-1.628', '-1.531', '-5.968', '-0.053', '-0.304', '-0.472', '1021.95', 'NA']
['1553383321575', '192.168.50.145', 'NA', 'NA', '0.126', '0.053', '-9.775', '-2.555', '-3.973', '-12.828', '-0.054', '-0.302', '-0.468', '1021.92', 'NA']
['1553383321597', '192.168.50.145', 'NA', 'NA', '0.126', '0.053', '-9.775', '-2.555', '-3.973', '-12.828', '-0.054', '-0.302', '-0.468', '1021.92', 'NA']
['1553383321619', '192.168.50.145', 'NA', 'NA', '0.126', '0.053', '-9.775', '-2.555', '-3.973', '-12.828', '-0.054', '-0.302', '-0.468', '1021.92', 'NA']
['1553383321641', '192.168.50.145', 'NA', 'NA', '-0.029', '-0.033', '-9.778', '-3.001', '-1.155', '-14.193', '-0.053', '-0.304', '-0.470', '1021.92', 'NA']
['1553383321663', '192.168.50.145', 'NA', 'NA', '-0.029', '-0.033', '-9.778', '-3.001', '-1.155', '-14.193', '-0.053', '-0.304', '-0.470', '1021.92', 'NA']
['1553383321684', '192.168.50.145', 'NA', 'NA', '-0.311', '0.327', '-9.781', '-2.546', '-1.724', '-17.159', '-0.049', '-0.302', '-0.471', '1021.89', 'NA']
['1553383321707', '192.168.50.145', 'NA', 'NA', '-0.311', '0.327', '-9.781', '-2.546', '-1.724', '-17.159', '-0.049', '-0.302', '-0.471', '1021.89', 'NA']
['1553383321729', '192.168.50.145', 'NA', 'NA', '-0.311', '0.327', '-9.781', '-2.546', '-1.724', '-17.159', '-0.049', '-0.302', '-0.471', '1021.89', 'NA']
['1553383321752', '192.168.50.145', 'NA', 'NA', '-0.146', '0.074', '-9.466', '-14.569', '-5.093', '-24.334', '-0.051', '-0.297', '-0.473', '1021.94', 'NA']
['1553383321774', '192.168.50.145', 'NA', 'NA', '-0.146', '0.074', '-9.466', '-14.569', '-5.093', '-24.334', '-0.051', '-0.297', '-0.473', '1021.94', 'NA']
['1553383321797', '192.168.50.145', 'NA', 'NA', '-0.146', '0.074', '-9.466', '-14.569', '-5.093', '-24.334', '-0.051', '-0.297', '-0.473', '1021.94', 'NA']
['1553383321818', '192.168.50.145', 'NA', 'NA', '-0.018', '0.465', '-9.695', '4.883', '2.398', '-30.756', '-0.040', '-0.302', '-0.474', '1021.93', 'NA']
['1553383321841', '192.168.50.145', 'NA', 'NA', '-0.018', '0.465', '-9.695', '4.883', '2.398', '-30.756', '-0.040', '-0.302', '-0.474', '1021.93', 'NA']
['1553383321862', '192.168.50.145', 'NA', 'NA', '-0.018', '0.465', '-9.695', '4.883', '2.398', '-30.756', '-0.040', '-0.302', '-0.474', '1021.93', 'NA']
['1553383321884', '192.168.50.145', 'NA', 'NA', '0.328', '0.138', '-10.131', '-0.376', '-12.443', '-24.798', '-0.038', '-0.309', '-0.472', '1021.93', 'NA']
['1553383321907', '192.168.50.145', 'NA', 'NA', '0.328', '0.138', '-10.131', '-0.376', '-12.443', '-24.798', '-0.038', '-0.309', '-0.472', '1021.93', 'NA']
['1553383321929', '192.168.50.145', 'NA', 'NA', '0.328', '0.138', '-10.131', '-0.376', '-12.443', '-24.798', '-0.038', '-0.309', '-0.472', '1021.93', 'NA']
['1553383321951', '192.168.50.145', 'NA', 'NA', '-0.282', '0.129', '-10.131', '-8.286', '-8.470', '-32.217', '-0.037', '-0.308', '-0.476', '1021.88', 'NA']
['1553383321973', '192.168.50.145', 'NA', 'NA', '-0.282', '0.129', '-10.131', '-8.286', '-8.470', '-32.217', '-0.037', '-0.308', '-0.476', '1021.88', 'NA']
['1553383321995', '192.168.50.145', 'NA', 'NA', '-0.078', '0.172', '-9.858', '1.803', '1.400', '-32.147', '-0.032', '-0.307', '-0.474', '1021.94', 'NA']
['1553383322018', '192.168.50.145', 'NA', 'NA', '-0.078', '0.172', '-9.858', '1.803', '1.400', '-32.147', '-0.032', '-0.307', '-0.474', '1021.94', 'NA']
['1553383322039', '192.168.50.145', 'NA', 'NA', '-0.078', '0.172', '-9.858', '1.803', '1.400', '-32.147', '-0.032', '-0.307', '-0.474', '1021.94', 'NA']
['1553383322061', '192.168.50.145', 'NA', 'NA', '-0.435', '0.260', '-9.690', '-4.646', '-0.394', '-43.216', '-0.020', '-0.309', '-0.472', '1021.93', 'NA']
['1553383322083', '192.168.50.145', 'NA', 'NA', '-0.435', '0.260', '-9.690', '-4.646', '-0.394', '-43.216', '-0.020', '-0.309', '-0.472', '1021.93', 'NA']
['1553383322105', '192.168.50.145', 'NA', 'NA', '-0.435', '0.260', '-9.690', '-4.646', '-0.394', '-43.216', '-0.020', '-0.309', '-0.472', '1021.93', 'NA']
