[1552672395.010657, '192.168.50.145', '-2.735', '3.002', '9.403', '-15.977', '128.231', '-66.098', '-0.318', '0.056', '0.164']
[1552672395.0324094, '192.168.50.145', '-2.735', '3.002', '9.403', '-15.977', '128.231', '-66.098', '-0.318', '0.056', '0.164']
[1552672395.0541213, '192.168.50.145', '-4.361', '2.451', '8.831', '9.660', '141.461', '-21.630', '-0.353', '0.020', '0.093']
[1552672395.075879, '192.168.50.145', '-4.361', '2.451', '8.831', '9.660', '141.461', '-21.630', '-0.353', '0.020', '0.093']
[1552672395.097655, '192.168.50.145', '-4.361', '2.451', '8.831', '9.660', '141.461', '-21.630', '-0.353', '0.020', '0.093']
[1552672395.1194074, '192.168.50.145', '-5.639', '2.349', '7.915', '34.589', '188.641', '6.965', '-0.383', '0.026', '0.019']
[1552672395.141144, '192.168.50.145', '-5.639', '2.349', '7.915', '34.589', '188.641', '6.965', '-0.383', '0.026', '0.019']
[1552672395.1628969, '192.168.50.145', '-5.639', '2.349', '7.915', '34.589', '188.641', '6.965', '-0.383', '0.026', '0.019']
[1552672395.184718, '192.168.50.145', '-5.507', '2.930', '6.433', '-37.485', '76.851', '17.369', '-0.388', '0.022', '-0.018']
[1552672395.2064407, '192.168.50.145', '-5.507', '2.930', '6.433', '-37.485', '76.851', '17.369', '-0.388', '0.022', '-0.018']
[1552672395.2281578, '192.168.50.145', '-5.951', '2.892', '6.299', '-9.485', '105.980', '41.326', '-0.385', '0.044', '-0.057']
[1552672395.248919, '192.168.50.145', '-5.951', '2.892', '6.299', '-9.485', '105.980', '41.326', '-0.385', '0.044', '-0.057']
[1552672395.2720442, '192.168.50.145', '-5.951', '2.892', '6.299', '-9.485', '105.980', '41.326', '-0.385', '0.044', '-0.057']
[1552672395.293801, '192.168.50.145', '-7.822', '4.259', '4.260', '-8.934', '142.258', '88.786', '-0.379', '0.069', '-0.117']
[1552672395.3155005, '192.168.50.145', '-7.822', '4.259', '4.260', '-8.934', '142.258', '88.786', '-0.379', '0.069', '-0.117']
[1552672395.3372974, '192.168.50.145', '-7.822', '4.259', '4.260', '-8.934', '142.258', '88.786', '-0.379', '0.069', '-0.117']
[1552672395.3590653, '192.168.50.145', '-6.096', '3.671', '3.869', '-56.516', '83.449', '125.291', '-0.343', '0.126', '-0.156']
[1552672395.380795, '192.168.50.145', '-6.096', '3.671', '3.869', '-56.516', '83.449', '125.291', '-0.343', '0.126', '-0.156']
[1552672395.4025457, '192.168.50.145', '-6.096', '3.671', '3.869', '-56.516', '83.449', '125.291', '-0.343', '0.126', '-0.156']
[1552672395.4242723, '192.168.50.145', '-6.439', '5.170', '2.085', '31.509', '40.259', '104.484', '-0.308', '0.168', '-0.176']
[1552672395.446875, '192.168.50.145', '-6.439', '5.170', '2.085', '31.509', '40.259', '104.484', '-0.308', '0.168', '-0.176']
[1552672395.4688213, '192.168.50.145', '-6.439', '5.170', '2.085', '31.509', '40.259', '104.484', '-0.308', '0.168', '-0.176']
[1552672395.4906185, '192.168.50.145', '-6.281', '5.377', '1.482', '83.991', '26.898', '149.818', '-0.249', '0.213', '-0.221']
